"OrigZoneNo","DestZoneNo","HBU_PA"
8311,"8380",35.8583889173935
8329,"8380",10.4586967675731
8328,"8380",26.8937916880452
8388,"8380",7.47049769112365
8393,"8380",71.7167778347871
8391,"8380",38.846587993843
8310,"8380",143.433555669574
8316,"8380",16.435094920472
8332,"8380",61.258081067214
8304,"8380",161.362750128271
8364,"8380",242.044125192406
8335,"8380",58.2698819907645
8321,"8380",40.3406875320677
8338,"8380",191.244740892766
8340,"8380",118.033863519754
8360,"8380",185.268342739867
8376,"8380",173.315546434069
8268,"8380",425.818368394048
8273,"8380",88.1518727552591
8254,"8380",124.010261672653
8278,"8380",197.221139045664
8281,"8380",14.9409953822473
8282,"8380",427.312467932273
8301,"8380",306.29040533607
8291,"8380",164.35094920472
8298,"8380",100.104669061057
8271,"8380",225.609030271934
8299,"8380",164.35094920472
8283,"8380",4.48229861467419
8257,"8380",20.9173935351462
8253,"8380",25.3996921498204
8243,"8380",13.4468958440226
8272,"8380",16.435094920472
8248,"8380",109.069266290405
8238,"8380",59.7639815289892
8247,"8380",46.3170856849667
8249,"8380",5.97639815289892
8290,"8380",161.362750128271
8302,"8380",67.2344792201129
8288,"8380",346.631092868138
8294,"8380",77.693175987686
8279,"8380",219.632632119035
8308,"8380",555.8050282196
8334,"8380",113.55156490508
8314,"8380",37.3524884556183
8284,"8380",13.4468958440226
8336,"8380",109.069266290405
8303,"8380",255.491021036429
8313,"8380",174.809645972293
8305,"8380",49.3052847614161
8319,"8380",74.7049769112365
8322,"8380",364.560287326834
8326,"8380",245.032324268856
8285,"8380",5.97639815289892
8300,"8380",13.4468958440226
8317,"8380",4.48229861467419
8342,"8380",1.49409953822473
8312,"8380",92.6341713699333
8293,"8380",38.846587993843
8350,"8380",28.3878912262699
8296,"8380",16.435094920472
8307,"8380",11.9527963057978
8292,"8380",113.55156490508
8315,"8380",68.7285787583376
8265,"8380",8.96459722934838
8244,"8380",2.98819907644946
8270,"8380",2.98819907644946
8256,"8380",35.8583889173935
8251,"8380",1.49409953822473
8259,"8380",26.8937916880452
8262,"8380",19.4232939969215
8250,"8380",11.9527963057978
8252,"8380",43.3288866085172
8246,"8380",2.98819907644946
8258,"8380",46.3170856849666
8267,"8380",20.9173935351462
8263,"8380",40.3406875320677
8240,"8380",14.9409953822473
8221,"8380",5.97639815289892
8218,"8380",8.96459722934838
8255,"8380",288.361210877373
8209,"8380",49.3052847614161
8211,"8380",115.045664443304
8208,"8380",22.411493073371
8213,"8380",83.6695741405849
8210,"8380",49.3052847614161
8215,"8380",25.3996921498204
8216,"8380",25.3996921498204
8217,"8380",29.8819907644946
8232,"8380",10.4586967675731
8219,"8380",47.8111852231914
8220,"8380",64.2462801436634
8237,"8380",80.6813750641355
8222,"8380",22.411493073371
8223,"8380",2.98819907644946
8224,"8380",4.48229861467419
8225,"8380",19.4232939969215
8226,"8380",1.49409953822473
8242,"8380",4.48229861467419
8229,"8380",20.9173935351462
8245,"8380",144.927655207799
8235,"8380",32.8701898409441
8236,"8380",5.97639815289892
8201,"8380",146.421754746024
8202,"8380",8.96459722934838
8203,"8380",5.97639815289892
8204,"8380",1.49409953822473
8227,"8380",5.97639815289892
8206,"8380",1.49409953822473
8212,"8380",17.9291944586968
8205,"8380",4.48229861467419
8230,"8380",16.435094920472
8214,"8384",17.9291944586968
8241,"8384",43.3288866085172
8261,"8384",23.9055926115957
8239,"8384",88.1518727552591
8327,"8384",7.47049769112365
8309,"8384",19.4232939969215
8387,"8384",32.8701898409441
8399,"8384",4.48229861467419
8377,"8384",22.411493073371
8398,"8384",2.98819907644946
8331,"8384",149.409953822473
8339,"8384",20.9173935351462
8366,"8384",140.445356593125
8357,"8384",141.939456131349
8385,"8384",2.98819907644946
8396,"8384",8.96459722934838
8354,"8384",11.9527963057978
8381,"8384",64.2462801436634
8365,"8384",13.4468958440226
8344,"8384",40.3406875320677
8369,"8384",62.7521806054387
8361,"8384",52.2934838378656
8372,"8384",23.9055926115957
8373,"8384",19.4232939969215
8378,"8384",16.435094920472
